codigo_amarracao_imagem;codigo;descricao;familia_comercial;familia_material;qtd_por_caixa;qtd_por_pallet;qtd_por_camada
2120140008;2120140008-106;NECTAR MISTO DE MACA E TANGERINA SHEFA 200 ML;Néctar - 200;NECTAR 200 ML SHEFA;27;170;17
2120140014;2120140014-106;NECTAR MISTO DE ABACAXI E MACA SHEFA  200 ML;Néctar - 200;NECTAR 200 ML SHEFA;27;170;17
2120140015;2120140015-106;NECTAR MISTO DE UVA E MACA SHEFA 200 ML;Néctar - 200;NECTAR 200 ML SHEFA;27;170;17
#VALOR!;200010102140;QUEIJO APARAS PARMESAO TANIA;Aparas;QUEIJO FINO;1;1;1
200280052;200280052-101;REQUEIJAO TRADICIONAL 24 X 180 GR LIDER;Requeijao - 180;QUEIJO TRADICIONAL;24;96;15
200280052;200280052-109;REQUEIJAO TRADICIONAL 24 X 180 GR LIDER;Requeijao - 180;QUEIJO TRADICIONAL;24;90;15
200280053;200280053-109;REQUEIJAO LIGHT 24 X 180 GR LIDER;Requeijao - 180;QUEIJO TRADICIONAL;24;90;15
200280055;200280055-101;REQUEIJAO TRADICIONAL 12 X 400 GR LIDER;Requeijao - 400;QUEIJO TRADICIONAL;12;90;16
200280055;200280055-109;REQUEIJAO TRADICIONAL 12 X 400 GR LIDER;Requeijao - 400;QUEIJO TRADICIONAL;12;96;16
200280186;200280186-109;QUEIJO MUSSARELA 4 KG LIDER;Mussarela;QUEIJO TRADICIONAL;1;45;9
200280187;200280187-109;QUEIJO MUSSARELA FATIADO 150 G LIDER;Mussarela;QUEIJO TRADICIONAL;20;110;22
200280188;200280188-109;QUEIJO MUSSARELA FATIADO 400 G LIDER;Mussarela;QUEIJO TRADICIONAL;10;110;22
200280193;200280193-101;REQUEIJAO CREMOSO 12 X 180 G TANIA;Requeijao - 180;QUEIJO TRADICIONAL;12;176;15
200280203;200280203-109;REQUEIJAO ZERO LACTOSE 24 X 180 GR LIDER;Requeijao - 180;QUEIJO TRADICIONAL;24;96;15
200280204;200280204-109;REQUEIJAO ZERO LACTOSE 12 X 400 GR LIDER;Requeijao - 400;QUEIJO TRADICIONAL;12;90;16
2020020004;2020020004-141;LEITE UHT SEMI DESNATADO SHEFA 1000 ML;Magros - S/ Tampa;SEMI 1000 ML SHEFA;12;90;15
2020020005;2020020005-106;LEITE UHT GFA SEMI DESNATADO SHEFA 1000 ML;Magros - Garrafa;SEMI 1000 ML SHEFA;6;140;28
2320310001;2320310001-109;BEB LACTEA VITAMINA COM FRUTAS SHEFA 200 ML;Vitamina - 200;VITAMINA 200 ML SHEFA;27;170;17
2020040010;2020040010-106;LEITE GFA SHEFA ZERO LACTOSE SEMI DESN 1000 ML;Espec. - Garrafa;ZERO LACTOSE 1000 ML SHEFA;6;140;28
200100114;200100114-106;LEITE UHT GFA LIDER ZERO LACTOSE SEMI DESN 1 LT;Espec. - Garrafa;ZERO LACTOSE 1000 ML SHEFA;6;140;28
